"","column_label","HI_mean_Interp","HI_sd_with_Interp","N.S.","Max_width_Interp","Min_response","Max_response","Peak_Q","ShapiroTest.W","ShapiroTest.p","t.test.stat","t.test.p","t.test.CIlow","t.test.CIhigh","wilcox.test.stat","wilcox.test.p","storm.ID","site.ID"
"1","1",0.15651587982027,0.199682533310486,-0.593098464317977,-0.418888888888889,-1,45.125,2741.98823123027,0.794,0,5.4868,0,0.0992,0.2138,1091,0,"MOOS_storm1_06_21_NO3","MOOS"
"2","2",-0.139636537541839,0.188690456790458,-0.420851267336238,-0.425155428024851,23.1308333333333,24.8733333333333,1608.63347804581,0.9382,0.0114,-5.1802,0,-0.1938,-0.0855,195,0,"MOOS_storm2_06_28_NO3","MOOS"
"3","3",-0.249838404540436,0.211280687377402,-0.0026012927636766,-0.53026958852278,77.5618181818182,89.0945454545455,1608.63347804581,0.9177,0.002,-8.2775,0,-0.3105,-0.1892,78,0,"MOOS_storm2_06_28_fDOM","MOOS"
"4","4",0.694276499207364,0.247678046187778,-0.6794948887553,0.922429344558025,23.7591666666667,25.145,1175.33857093417,0.7742,0,19.622,0,0.6232,0.7654,1275,0,"MOOS_storm3_07_18_NO3","MOOS"
"5","5",-0.271812756434182,0.294698123977215,-0.266567201292978,-0.818786522441912,99.3736363636364,106.685454545455,1175.33857093417,0.9093,0.001,-6.4564,0,-0.3564,-0.1872,168,0,"MOOS_storm3_07_18_fDOM","MOOS"
"6","6",0.0428157583302016,0.114652089859646,-0.118149569313171,0.498209855010406,-0.811407766990291,25.49,1308.78613842418,0.4579,0,2.6141,0.0119,0.0099,0.0757,1178,0,"MOOS_storm4_07_20_NO3","MOOS"
"7","7",-0.12330465495381,0.110243815157942,0.00672955010936616,0.398032686386243,3.59,134.086363636364,1308.78613842418,0.7035,0,-7.8293,0,-0.155,-0.0917,97,0,"MOOS_storm4_07_20_fDOM","MOOS"
"8","8",-0.340580747812258,0.133124999575656,0.187350835322196,-0.718774860779619,23.7858333333333,25.8808333333333,1233.77101993954,0.8152,0,-17.9085,0,-0.3788,-0.3024,8,0,"MOOS_storm5_07_27_NO3","MOOS"
"9","9",-0.186006703740392,0.119627662603443,0.259236687742859,-0.512417155481042,126.643636363636,138.577272727273,1233.77101993954,0.7901,0,-10.8842,0,-0.2203,-0.1517,48,0,"MOOS_storm5_07_27_fDOM","MOOS"
"10","10",0.851679249599628,0.129961140584574,-0.85746968657057,0.987417067032711,22.6616666666667,26.3041666666667,1095.60618251342,0.8092,0,45.8734,0,0.8144,0.889,1275,0,"MOOS_storm6a_08_01_NO3","MOOS"
"11","11",0.734456247871979,0.0867645419334316,-0.813687436159402,0.87351038474633,108.510909090909,121.860909090909,1095.60618251342,0.8294,0,59.2545,0,0.7095,0.7594,1275,0,"MOOS_storm6a_08_01_fDOM","MOOS"
"12","12",0.0875409795226226,0.141715975167843,-0.165456102206915,0.517468200215447,-0.878181818181818,46.37,1460.98748553533,0.82,0,4.324,1e-04,0.0469,0.1282,1088,0,"MOOS_storm6b_08_03_NO3","MOOS"
"13","13",0.204012993324661,0.134486100136921,-0.20022441715862,0.529663803084665,3.44545454545455,130.643636363636,1460.98748553533,0.9467,0.0251,10.6189,0,0.1654,0.2426,1265,0,"MOOS_storm6b_08_03_fDOM","MOOS"
"14","14",0.640326921792555,0.0920236213777553,-0.972951312362252,0.739831697054696,21.6833333333333,25.8425,1244.96376718271,0.7523,0,48.708,0,0.6139,0.6667,1275,0,"MOOS_storm7a_08_09_NO3","MOOS"
"15","15",0.0332619528619426,0.319647709134735,-0.491414141414123,-0.688636363636363,23.01,24.66,1294.88037388727,0.8665,0,0.7284,0.4698,-0.0585,0.125,777,0.1797,"MOOS_storm7b_08_12_NO3","MOOS"
"16","16",0.101829378191651,0.337565280570299,-0.636613311590813,0.589366176028848,126.269090909091,147.453636363636,1294.88037388727,0.8912,2e-04,2.1116,0.0398,0.0049,0.1987,848,0.0426,"MOOS_storm7b_08_12_fDOM","MOOS"
"17","17",0.242153476775326,0.0771164876460135,-0.285067873303167,0.532597654446394,14.945,42.0175,1551.12118724128,0.5731,0,21.9807,0,0.22,0.2643,1275,0,"MOOS_storm9_09_09_NO3","MOOS"
"18","18",0.346181632582044,0.236804962422957,-0.643138028234375,0.708173350191987,76.6145454545454,154.984545454545,1551.12118724128,0.9402,0.0138,10.2332,0,0.2782,0.4142,1256,0,"MOOS_storm9_09_09_fDOM","MOOS"
