"","Site","Day","Q"
"1","FRCH",2015-05-14,NA
"2","FRCH",2015-05-15,NA
"3","FRCH",2015-05-16,NA
"4","FRCH",2015-05-17,NA
"5","FRCH",2015-05-18,NA
"6","FRCH",2015-05-19,139.65043927664
"7","FRCH",2015-05-20,139.511918396439
"8","FRCH",2015-05-21,139.436943187274
"9","FRCH",2015-05-22,139.419573185704
"10","FRCH",2015-05-23,139.413281348074
"11","FRCH",2015-05-24,139.504534917552
"12","FRCH",2015-05-25,139.5345720175
"13","FRCH",2015-05-26,139.605637853651
"14","FRCH",2015-05-27,139.789812798782
"15","FRCH",2015-05-28,139.766935167306
"16","FRCH",2015-05-29,139.869986343281
"17","FRCH",2015-05-30,139.88615135416
"18","FRCH",2015-05-31,139.96181697967
"19","FRCH",2015-06-01,139.644734203993
"20","FRCH",2015-06-02,139.40725830861
"21","FRCH",2015-06-03,139.406094498335
"22","FRCH",2015-06-04,139.409210301539
"23","FRCH",2015-06-05,139.420720949726
"24","FRCH",2015-06-06,139.561483525292
"25","FRCH",2015-06-07,139.452086369079
"26","FRCH",2015-06-08,139.447047335068
"27","FRCH",2015-06-09,139.460580925927
"28","FRCH",2015-06-10,139.506158375836
"29","FRCH",2015-06-11,139.6393186053
"30","FRCH",2015-06-12,139.75380637516
"31","FRCH",2015-06-13,139.834947662528
"32","FRCH",2015-06-14,139.918355515675
"33","FRCH",2015-06-15,139.858037397638
"34","FRCH",2015-06-16,139.822389474776
"35","FRCH",2015-06-17,139.976056718208
"36","FRCH",2015-06-18,139.960814323174
"37","FRCH",2015-06-19,140.080899920132
"38","FRCH",2015-06-20,140.043371929958
"39","FRCH",2015-06-21,140.116872116152
"40","FRCH",2015-06-22,139.898528322628
"41","FRCH",2015-06-23,139.821023286791
"42","FRCH",2015-06-24,139.861597091725
"43","FRCH",2015-06-25,139.784735250791
"44","FRCH",2015-06-26,139.781827707013
"45","FRCH",2015-06-27,139.652773941158
"46","FRCH",2015-06-28,139.43607467248
"47","FRCH",2015-06-29,139.493598717114
"48","FRCH",2015-06-30,139.625719406522
"49","FRCH",2015-07-01,140.760883066061
"50","FRCH",2015-07-02,809.504189337932
"51","FRCH",2015-07-03,583.057594560653
"52","FRCH",2015-07-04,215.721423471189
"53","FRCH",2015-07-05,158.613405403451
"54","FRCH",2015-07-06,145.983937639546
"55","FRCH",2015-07-07,142.670661839153
"56","FRCH",2015-07-08,141.047217377795
"57","FRCH",2015-07-09,140.272352988168
