"","valuedatetime","datavalue"
"3711",2020-07-12 20:15:00,25.53
"3712",2020-07-12 20:30:00,26.02
"3713",2020-07-12 20:45:00,26.23
"3714",2020-07-12 21:00:00,26.16
"3715",2020-07-12 21:15:00,25.81
"3716",2020-07-12 21:30:00,25.65
"3717",2020-07-12 21:45:00,25.59
"3718",2020-07-12 22:00:00,25.53
"3719",2020-07-12 22:15:00,25.36
"3720",2020-07-12 22:30:00,24.97
"3721",2020-07-12 22:45:00,24.95
"3722",2020-07-12 23:00:00,24.73
"3723",2020-07-12 23:15:00,24.98
"3724",2020-07-12 23:30:00,25.48
"3725",2020-07-12 23:45:00,25.98
"3726",2020-07-13 00:00:00,26.27
"3727",2020-07-13 00:15:00,26.37
"3728",2020-07-13 00:30:00,26.46
"3729",2020-07-13 00:45:00,26.49
"3730",2020-07-13 01:00:00,26.31
"3731",2020-07-13 01:15:00,26.41
"3732",2020-07-13 01:30:00,26.53
"3733",2020-07-13 01:45:00,26.38
"3734",2020-07-13 02:00:00,26.07
"3735",2020-07-13 02:15:00,25.88
"3736",2020-07-13 02:30:00,25.56
"3737",2020-07-13 02:45:00,25.01
"3738",2020-07-13 03:00:00,25.02
"3739",2020-07-13 03:15:00,25.38
"3740",2020-07-13 03:30:00,25.55
"3741",2020-07-13 03:45:00,25.22
"3742",2020-07-13 04:00:00,25.26
"3743",2020-07-13 04:15:00,25.48
"3744",2020-07-13 04:30:00,25.54
"3745",2020-07-13 04:45:00,25.33
"3746",2020-07-13 05:00:00,25.2
"3747",2020-07-13 05:15:00,25.27
"3748",2020-07-13 05:30:00,25.23
"3749",2020-07-13 05:45:00,25.06
"3750",2020-07-13 06:00:00,24.8
"3751",2020-07-13 06:15:00,24.51
"3752",2020-07-13 06:30:00,24.47
"3753",2020-07-13 06:45:00,24.2
"3754",2020-07-13 07:00:00,23.99
"3755",2020-07-13 07:15:00,23.92
"3756",2020-07-13 07:30:00,23.88
"3757",2020-07-13 07:45:00,23.79
"3758",2020-07-13 08:00:00,23.63
"3759",2020-07-13 08:15:00,23.23
"3760",2020-07-13 08:30:00,22.19
"3761",2020-07-13 08:45:00,21.54
"3762",2020-07-13 09:00:00,20.96
"3763",2020-07-13 09:15:00,19.77
"3764",2020-07-13 09:30:00,19.37
"3765",2020-07-13 09:45:00,19.48
"3766",2020-07-13 10:00:00,20.01
"3767",2020-07-13 10:15:00,20.31
"3768",2020-07-13 10:30:00,20.52
"3769",2020-07-13 10:45:00,20.56
"3770",2020-07-13 11:00:00,20.45
"3771",2020-07-13 11:15:00,20.44
"3772",2020-07-13 11:30:00,21.09
"3773",2020-07-13 11:45:00,21.81
"3774",2020-07-13 12:00:00,21.94
"3775",2020-07-13 12:15:00,22.55
"3776",2020-07-13 12:30:00,22.83
"3777",2020-07-13 12:45:00,22.82
"3778",2020-07-13 13:00:00,23.54
"3779",2020-07-13 13:15:00,24.07
"3780",2020-07-13 13:30:00,24.24
"3781",2020-07-13 13:45:00,24.66
"3782",2020-07-13 14:00:00,25.08
"3783",2020-07-13 14:15:00,25.38
"3784",2020-07-13 14:30:00,25.74
"3785",2020-07-13 14:45:00,26.49
"3786",2020-07-13 15:00:00,27.02
"3787",2020-07-13 15:15:00,27.16
"3788",2020-07-13 15:30:00,27.53
"3789",2020-07-13 15:45:00,27.7
"3790",2020-07-13 16:00:00,28.23
"3791",2020-07-13 16:15:00,29.04
"3792",2020-07-13 16:30:00,29.2
"3793",2020-07-13 16:45:00,29.13
"3794",2020-07-13 17:00:00,29.14
"3795",2020-07-13 17:15:00,29.39
"3796",2020-07-13 17:30:00,29.82
"3797",2020-07-13 17:45:00,29.84
"3798",2020-07-13 18:00:00,29.79
"3799",2020-07-13 18:15:00,30.18
"3800",2020-07-13 18:30:00,31.02
"3801",2020-07-13 18:45:00,31.44
"3802",2020-07-13 19:00:00,31.34
"3803",2020-07-13 19:15:00,31.37
"3804",2020-07-13 19:30:00,31.62
"3805",2020-07-13 19:45:00,31.81
"3806",2020-07-13 20:00:00,31.77
"3807",2020-07-13 20:15:00,31.92
"3808",2020-07-13 20:30:00,32.02
"3809",2020-07-13 20:45:00,32.62
"3810",2020-07-13 21:00:00,33.07
"3811",2020-07-13 21:15:00,33.26
"3812",2020-07-13 21:30:00,33.57
"3813",2020-07-13 21:45:00,33.97
"3814",2020-07-13 22:00:00,33.6
"3815",2020-07-13 22:15:00,33.47
"3816",2020-07-13 22:30:00,33.79
"3817",2020-07-13 22:45:00,33.71
"3818",2020-07-13 23:00:00,33.36
"3819",2020-07-13 23:15:00,33.49
"3820",2020-07-13 23:30:00,33.75
"3821",2020-07-13 23:45:00,33.97
"3822",2020-07-14 00:00:00,34.08
"3823",2020-07-14 00:15:00,34.01
"3824",2020-07-14 00:30:00,34.42
"3825",2020-07-14 00:45:00,35.02
"3826",2020-07-14 01:00:00,35.16
"3827",2020-07-14 01:15:00,35.05
"3828",2020-07-14 01:30:00,35.32
"3829",2020-07-14 01:45:00,35.85
"3830",2020-07-14 02:00:00,36.04
"3831",2020-07-14 02:15:00,35.54
"3832",2020-07-14 02:30:00,35.66
"3833",2020-07-14 02:45:00,34.08
"3834",2020-07-14 03:00:00,34.91
"3835",2020-07-14 03:15:00,36.8
"3836",2020-07-14 03:30:00,36.94
"3837",2020-07-14 03:45:00,36.96
"3838",2020-07-14 04:00:00,37.4
"3839",2020-07-14 04:15:00,37.67
"3840",2020-07-14 04:30:00,37.76
"3841",2020-07-14 04:45:00,37.91
"3842",2020-07-14 05:00:00,37.52
"3843",2020-07-14 05:15:00,36.91
"3844",2020-07-14 05:30:00,36.5
"3845",2020-07-14 05:45:00,36.4
"3846",2020-07-14 06:00:00,36.48
"3847",2020-07-14 06:15:00,36.6
"3848",2020-07-14 06:30:00,36.43
"3849",2020-07-14 06:45:00,36.56
"3850",2020-07-14 07:00:00,37.01
"3851",2020-07-14 07:15:00,36.91
"3852",2020-07-14 07:30:00,36.7
"3853",2020-07-14 07:45:00,36.94
"3854",2020-07-14 08:00:00,36.91
"3855",2020-07-14 08:15:00,36.55
"3856",2020-07-14 08:30:00,36.44
"3857",2020-07-14 08:45:00,36.16
"3858",2020-07-14 09:00:00,36.19
"3859",2020-07-14 09:15:00,36.35
"3860",2020-07-14 09:30:00,36.18
"3861",2020-07-14 09:45:00,35.88
"3862",2020-07-14 10:00:00,35.57
"3863",2020-07-14 10:15:00,35.09
"3864",2020-07-14 10:30:00,34.66
"3865",2020-07-14 10:45:00,34.55
"3866",2020-07-14 11:00:00,34.59
"3867",2020-07-14 11:15:00,34.36
"3868",2020-07-14 11:30:00,34.3
"3869",2020-07-14 11:45:00,34.31
"3870",2020-07-14 12:00:00,34.25
"3871",2020-07-14 12:15:00,33.79
"3872",2020-07-14 12:30:00,33.74
"3873",2020-07-14 12:45:00,33.83
"3874",2020-07-14 13:00:00,33.42
"3875",2020-07-14 13:15:00,33.83
"3876",2020-07-14 13:30:00,33.77
"3877",2020-07-14 13:45:00,33.25
"3878",2020-07-14 14:00:00,32.75
"3879",2020-07-14 14:15:00,32.03
"3880",2020-07-14 14:30:00,32.2
"3881",2020-07-14 14:45:00,31.78
"3882",2020-07-14 15:00:00,31.14
"3883",2020-07-14 15:15:00,31.32
"3884",2020-07-14 15:30:00,31.84
"3885",2020-07-14 15:45:00,32.39
"3886",2020-07-14 16:00:00,32.49
"3887",2020-07-14 16:15:00,32.13
"3888",2020-07-14 16:30:00,31.74
"3889",2020-07-14 16:45:00,31.58
"3890",2020-07-14 17:00:00,31.4
"3891",2020-07-14 17:15:00,30.82
"3892",2020-07-14 17:30:00,30.69
"3893",2020-07-14 17:45:00,30.22
"3894",2020-07-14 18:00:00,30.76
"3895",2020-07-14 18:15:00,31.24
"3896",2020-07-14 18:30:00,30.8
"3897",2020-07-14 18:45:00,30.98
"3898",2020-07-14 19:00:00,31.45
"3899",2020-07-14 19:15:00,31.65
"3900",2020-07-14 19:30:00,31.93
"3901",2020-07-14 19:45:00,31.86
"3902",2020-07-14 20:00:00,31.52
"3903",2020-07-14 20:15:00,31.55
"3904",2020-07-14 20:30:00,31.75
"3905",2020-07-14 20:45:00,31.76
"3906",2020-07-14 21:00:00,31.82
"3907",2020-07-14 21:15:00,31.95
"3908",2020-07-14 21:30:00,32
"3909",2020-07-14 21:45:00,31.89
"3910",2020-07-14 22:00:00,32.18
"3911",2020-07-14 22:15:00,32.39
"3912",2020-07-14 22:30:00,32.69
"3913",2020-07-14 22:45:00,33.33
"3914",2020-07-14 23:00:00,33.67
"3915",2020-07-14 23:15:00,33.66
"3916",2020-07-14 23:30:00,34.01
"3917",2020-07-14 23:45:00,34.17
"3918",2020-07-15 00:00:00,34.21
"3919",2020-07-15 00:15:00,34.54
"3920",2020-07-15 00:30:00,35.03
"3921",2020-07-15 00:45:00,35.21
"3922",2020-07-15 01:00:00,35.57
"3923",2020-07-15 01:15:00,35.53
"3924",2020-07-15 01:30:00,35.3
"3925",2020-07-15 01:45:00,35.01
"3926",2020-07-15 02:00:00,35.11
"3927",2020-07-15 02:15:00,35.01
"3928",2020-07-15 02:30:00,35.02
"3929",2020-07-15 02:45:00,34.94
"3930",2020-07-15 03:00:00,35.49
"3931",2020-07-15 03:15:00,35.78
"3932",2020-07-15 03:30:00,34.65
"3933",2020-07-15 03:45:00,34.27
"3934",2020-07-15 04:00:00,34.73
"3935",2020-07-15 04:15:00,34.95
"3936",2020-07-15 04:30:00,35.17
"3937",2020-07-15 04:45:00,35.54
"3938",2020-07-15 05:00:00,35.49
"3939",2020-07-15 05:15:00,35.48
"3940",2020-07-15 05:30:00,36.05
"3941",2020-07-15 05:45:00,35.92
"3942",2020-07-15 06:00:00,35.33
"3943",2020-07-15 06:15:00,35.26
"3944",2020-07-15 06:30:00,35.7
"3945",2020-07-15 06:45:00,35.85
"3946",2020-07-15 07:00:00,35.6
"3947",2020-07-15 07:15:00,35.64
"3948",2020-07-15 07:30:00,36
"3949",2020-07-15 07:45:00,36.41
"3950",2020-07-15 08:00:00,36.04
"3951",2020-07-15 08:15:00,35.76
"3952",2020-07-15 08:30:00,36.04
"3953",2020-07-15 08:45:00,36.14
"3954",2020-07-15 09:00:00,36.04
"3955",2020-07-15 09:15:00,36.23
"3956",2020-07-15 09:30:00,36
"3957",2020-07-15 09:45:00,35.32
"3958",2020-07-15 10:00:00,35.08
"3959",2020-07-15 10:15:00,35.12
"3960",2020-07-15 10:30:00,35.16
"3961",2020-07-15 10:45:00,34.99
"3962",2020-07-15 11:00:00,34.95
"3963",2020-07-15 11:15:00,35.03
"3964",2020-07-15 11:30:00,35.05
"3965",2020-07-15 11:45:00,34.94
"3966",2020-07-15 12:00:00,34.59
"3967",2020-07-15 12:15:00,34.36
"3968",2020-07-15 12:30:00,33.92
"3969",2020-07-15 12:45:00,33.34
"3970",2020-07-15 13:00:00,32.73
"3971",2020-07-15 13:15:00,32.29
"3972",2020-07-15 13:30:00,31.86
"3973",2020-07-15 13:45:00,31.36
