"","valuedatetime","datavalue"
"2121",2020-07-09 10:30:00,NA
"2122",2020-07-09 10:45:00,NA
"2123",2020-07-09 11:00:00,NA
"2124",2020-07-09 11:15:00,NA
"2125",2020-07-09 11:30:00,NA
"2126",2020-07-09 11:45:00,NA
"2127",2020-07-09 12:00:00,NA
"2128",2020-07-09 12:15:00,NA
"2129",2020-07-09 12:30:00,NA
"2130",2020-07-09 12:45:00,NA
"2131",2020-07-09 13:00:00,NA
"2132",2020-07-09 13:15:00,NA
"2133",2020-07-09 13:30:00,NA
"2134",2020-07-09 13:45:00,NA
"2135",2020-07-09 14:00:00,NA
"2136",2020-07-09 14:15:00,NA
"2137",2020-07-09 14:30:00,NA
"2138",2020-07-09 14:45:00,NA
"2139",2020-07-09 15:00:00,NA
"2140",2020-07-09 15:15:00,NA
"2141",2020-07-09 15:30:00,NA
"2142",2020-07-09 15:45:00,NA
"2143",2020-07-09 16:00:00,NA
"2144",2020-07-09 16:15:00,NA
"2145",2020-07-09 16:30:00,NA
"2146",2020-07-09 16:45:00,NA
"2147",2020-07-09 17:00:00,NA
"2148",2020-07-09 17:15:00,NA
"2149",2020-07-09 17:30:00,NA
"2150",2020-07-09 17:45:00,NA
"2151",2020-07-09 18:00:00,NA
"2152",2020-07-09 18:15:00,NA
"2153",2020-07-09 18:30:00,NA
"2154",2020-07-09 18:45:00,NA
"2155",2020-07-09 19:00:00,NA
"2156",2020-07-09 19:15:00,NA
"2157",2020-07-09 19:30:00,NA
"2158",2020-07-09 19:45:00,NA
"2159",2020-07-09 20:00:00,NA
"2160",2020-07-09 20:15:00,NA
"2161",2020-07-09 20:30:00,NA
"2162",2020-07-09 20:45:00,NA
"2163",2020-07-09 21:00:00,NA
"2164",2020-07-09 21:15:00,NA
"2165",2020-07-09 21:30:00,NA
"2166",2020-07-09 21:45:00,NA
"2167",2020-07-09 22:00:00,NA
"2168",2020-07-09 22:15:00,NA
"2169",2020-07-09 22:30:00,NA
"2170",2020-07-09 22:45:00,NA
"2171",2020-07-09 23:00:00,NA
